CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
280678	1885.00427	19042073154	0.78306	0.10950	1884.94397	0.06030	4069	1	0.79348	0.09872	1	0.78427	0.03229	1	0.78888	0.06551	1	0.33807	0.53859	20.97514	1.01391	1	0.60201	0.55422	22.28644	1.02027	1	-0.04066	-0.00963	0.64554	0.00422	1	0.02367	-0.01242	0.62504	0.00447	1	0.52240	0.53426	0	
280679	1885.01099	19042139941	0.78393	0.10335	1884.94397	0.06702	4069	1	0.79529	0.07879	1	0.78980	0.00497	1	0.79254	0.04188	1	0.33807	0.53859	20.97514	1.03354	1	0.60190	0.55431	22.85907	1.04697	1	-0.04066	-0.00973	0.64554	0.00423	1	0.02426	-0.01290	0.64189	0.00435	1	0.52240	0.53426	0	
280680	1885.01770	19042206824	0.78410	0.09738	1884.94397	0.07373	4069	1	0.77926	0.03538	1	0.79268	0.02793	1	0.78597	0.03166	1	0.33816	0.53871	21.23466	1.04697	1	0.60192	0.55486	23.03446	1.05403	1	-0.04066	-0.00973	0.64554	0.00413	1	0.02426	-0.01290	0.64189	0.00456	1	0.52240	0.53426	0	
280681	1885.02368	19042266999	0.78437	0.09205	1884.94397	0.07971	4069	1	0.77990	0.03058	1	0.79548	0.02567	1	0.78769	0.02813	1	0.33811	0.53880	21.15381	1.05403	1	0.60189	0.55473	22.73608	1.06110	1	-0.04066	-0.00973	0.64554	0.00419	1	0.02426	-0.01290	0.64189	0.00465	1	0.52240	0.53426	0	
280682	1885.03113	19042340955	0.78468	0.08697	1884.94397	0.08716	4069	1	0.78044	0.02322	1	0.79696	0.01869	1	0.78870	0.02095	1	0.33812	0.53891	21.24008	1.06110	1	0.60188	0.55468	22.90838	1.06817	1	-0.04017	-0.00966	0.63780	0.00420	1	0.02426	-0.01290	0.64189	0.00455	1	0.52240	0.53426	0	
280683	1885.03748	19042405344	0.78467	0.08240	1884.94397	0.09351	4069	1	0.77927	0.01801	1	0.78970	0.01883	1	0.78448	0.01842	1	0.33805	0.53916	21.22904	1.06817	1	0.60190	0.55482	22.46070	1.06817	1	-0.04017	-0.00966	0.63780	0.00423	1	0.02426	-0.01290	0.64189	0.00455	1	0.52240	0.53426	0	
280684	1885.04456	19042475445	0.78473	0.07900	1884.94397	0.10059	4069	1	0.77805	0.02347	1	0.79314	0.03256	1	0.78560	0.02801	1	0.33802	0.53916	21.40699	1.06817	1	0.60189	0.55488	22.64475	1.06817	1	-0.04017	-0.00966	0.63780	0.00422	1	0.02426	-0.01290	0.64189	0.00455	1	0.52240	0.53426	0	
280685	1885.05115	19042542098	0.78478	0.07600	1884.94397	0.10718	4069	1	0.77805	0.02347	1	0.79314	0.03256	1	0.78560	0.02801	1	0.33804	0.53915	21.42913	1.06817	1	0.60194	0.55484	22.51901	1.06817	1	-0.04065	-0.00983	0.64540	0.00421	1	0.02426	-0.01290	0.64189	0.00456	1	0.52240	0.53426	0	
280686	1885.05762	19042605890	0.78508	0.07235	1884.94397	0.11365	4069	1	0.78609	0.02269	1	0.79416	-0.00212	1	0.79013	0.01028	1	0.33815	0.53932	21.41601	1.06817	1	0.60211	0.55491	22.81536	1.06817	1	-0.04065	-0.00983	0.64540	0.00428	1	0.02426	-0.01290	0.64189	0.00455	1	0.52240	0.53426	0	
280687	1885.06458	19042675781	0.78608	0.04386	1884.94397	0.11365	4069	0	0.76229	0.02518	1	0.80031	0.00114	1	0.78130	0.01316	1	0.33813	0.53916	21.37157	1.06817	1	0.60218	0.55516	23.36928	1.06817	1	-0.04065	-0.00983	0.64540	0.00420	1	0.02426	-0.01290	0.64189	0.00444	1	0.52240	0.53426	0	
280688	1885.07166	19042746234	0.78284	0.03384	1884.94397	0.11365	4069	0	0.76186	0.03240	1	0.79734	0.01525	1	0.77960	0.02382	1	0.33818	0.53901	21.39329	1.06118	1	0.60217	0.55505	23.31540	1.05412	1	-0.17551	-0.04341	2.85116	0.00419	0	0.02368	-0.01267	0.62544	0.00438	1	0.52240	0.53426	0	
280689	1885.07800	19042809896	0.78158	0.03882	1884.94397	0.11365	4069	0	0.77748	0.05558	1	0.78062	0.04201	1	0.77905	0.04879	1	0.33827	0.53913	21.30466	1.04713	1	0.60242	0.55503	22.47339	1.04006	1	-0.17551	-0.04341	2.85116	0.00428	0	0.02368	-0.01267	0.62544	0.00451	1	0.52240	0.53426	0	
280690	1885.08459	19042875603	0.78195	0.04725	1885.06458	0.02002	4070	1	0.77971	0.07346	1	0.78639	0.07162	1	0.78305	0.07254	1	0.33829	0.53918	20.94398	1.03308	1	0.60256	0.55502	22.10866	1.02601	1	-0.17551	-0.04341	2.85116	0.00428	0	0.02368	-0.01267	0.62544	0.00449	1	0.52240	0.53426	0	
280691	1885.09106	19042941029	0.78219	0.05216	1885.06458	0.02649	4070	1	0.77977	0.07270	1	0.78655	0.07089	1	0.78316	0.07179	1	0.33837	0.53921	20.78874	1.03382	1	0.60254	0.55487	22.05010	1.02675	1	-0.04100	-0.01000	0.65331	0.00430	1	0.02355	-0.01255	0.61958	0.00442	1	0.52240	0.53426	0	
